,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
135,Lesotho,LSO,2614566292,16.6,22.3,19,13.2,7.5,2160.854,-0.555181265,,,2600,8.969038208,14.4,-0.332812041,-0.20982334,Lesotho,0.161970541
136,Liberia,LBR,2013000000,21.6,22.9,22.5,17.6,9.7,243.6676,-1.343055606,23000,,650,5.1910299,41.2,-0.615449607,-0.80579406,Liberia,-0.275833428
137,Libya,LBY,..,24.8,18,24.6,11.4,9,423.6434,-1.691470146,400000,341000,,0.977528218,..,-2.353407145,-1.508693218,Libya,-1.113725781
138,Liechtenstein,LIE,6657170923,,,,,,,1.705178618,,,,14.5,..,1.458861828,1.743713021,Liechtenstein,1.395747304
139,Lithuania,LTU,48545251796,9.7,14.1,9.9,6.5,3,110.2539,0.982653379,,,,37.5131684,2.5,0.742136419,0.939177334,Lithuania,0.961591065
140,Low & middle income,LMY,2.87E+13,,,,,,,,,,,11.18645239,12.28118771,,,,
141,Low income,LIC,4.12E+11,,,,,,,,,,,9.524816546,27.01598988,,,,
142,Lower middle income,LMC,6.08E+12,,,,,,,,,,,17.39316022,13.6686245,,,,
143,Luxembourg,LUX,66327344189,8.5,6,4.5,3.7,1.9,325.02,1.65443325,,,,24.17374517,2.5,1.378323793,1.906487703,Luxembourg,1.554682136
144,"Macao SAR, China",MAC,55347998648,,,,,,,1.468456149,,,,..,7.3,1.206168532,0.951919615,"Macao SAR, China",-0.330553174
145,"Macedonia, FYR",MKD,11362272838,20,17.6,14.1,8.8,5.9,741.545,0.131663471,220,,,16.41554322,4.3,0.256382942,-0.052508973,"Macedonia, FYR",-0.14148204
146,Madagascar,MDG,10673516673,19.3,21.9,21.9,12.4,7.6,615.2372,-1.299321651,,,2800,6.015812994,39,-0.557235837,-0.740127504,Madagascar,-0.500305891
147,Malawi,MWI,6054750320,18.5,24.8,22.2,15.2,8.4,779.0389,-0.628111243,,,600,40.30547306,23.5,0.081093207,-0.286365271,Malawi,-0.064298145
148,Malaysia,MYS,3.38E+11,19.7,14.3,18.1,10,4.1,419.6467,1.115127206,,,256000,2.90366763,2.6,0.266619146,0.588295519,Malaysia,-0.360303104
