"Middle income	MIC	Arable land (% of land area)	AG.LND.ARBL.ZS	11.63384543"
"Macedonia, FYR	MKD	Arable land (% of land area)	AG.LND.ARBL.ZS	16.45519429"
"Mali	MLI	Arable land (% of land area)	AG.LND.ARBL.ZS	5.254099771"
"Malta	MLT	Arable land (% of land area)	AG.LND.ARBL.ZS	28.03125"
"Myanmar	MMR	Arable land (% of land area)	AG.LND.ARBL.ZS	16.65798983"
"Middle East & North Africa (excluding high income)	MNA	Arable land (% of land area)	AG.LND.ARBL.ZS	5.689569138"
"Montenegro	MNE	Arable land (% of land area)	AG.LND.ARBL.ZS	0.646840149"
"Mongolia	MNG	Arable land (% of land area)	AG.LND.ARBL.ZS	0.365096939"
"Northern Mariana Islands	MNP	Arable land (% of land area)	AG.LND.ARBL.ZS	2.173913043"
"Mozambique	MOZ	Arable land (% of land area)	AG.LND.ARBL.ZS	7.184821588"
"Mauritania	MRT	Arable land (% of land area)	AG.LND.ARBL.ZS	0.436596488"
"Mauritius	MUS	Arable land (% of land area)	AG.LND.ARBL.ZS	36.45320197"
"Malawi	MWI	Arable land (% of land area)	AG.LND.ARBL.ZS	40.30547306"
"Malaysia	MYS	Arable land (% of land area)	AG.LND.ARBL.ZS	2.90366763"
"North America	NAC	Arable land (% of land area)	AG.LND.ARBL.ZS	10.73786606"
"Namibia	NAM	Arable land (% of land area)	AG.LND.ARBL.ZS	0.971711062"
"New Caledonia	NCL	Arable land (% of land area)	AG.LND.ARBL.ZS	0.341356674"
"Niger	NER	Arable land (% of land area)	AG.LND.ARBL.ZS	13.26280887"
"Nigeria	NGA	Arable land (% of land area)	AG.LND.ARBL.ZS	37.33104955"
"Nicaragua	NIC	Arable land (% of land area)	AG.LND.ARBL.ZS	12.49792255"
"Netherlands	NLD	Arable land (% of land area)	AG.LND.ARBL.ZS	30.66191748"
"Norway	NOR	Arable land (% of land area)	AG.LND.ARBL.ZS	2.205642788"
"Nepal	NPL	Arable land (% of land area)	AG.LND.ARBL.ZS	14.74502965"
"Nauru	NRU	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"New Zealand	NZL	Arable land (% of land area)	AG.LND.ARBL.ZS	2.240704873"
"OECD members	OED	Arable land (% of land area)	AG.LND.ARBL.ZS	11.24169953"
"Oman	OMN	Arable land (% of land area)	AG.LND.ARBL.ZS	0.122778675"
"Other small states	OSS	Arable land (% of land area)	AG.LND.ARBL.ZS	2.077215396"
"Pakistan	PAK	Arable land (% of land area)	AG.LND.ARBL.ZS	39.48733914"
"Panama	PAN	Arable land (% of land area)	AG.LND.ARBL.ZS	7.573311811"
"Peru	PER	Arable land (% of land area)	AG.LND.ARBL.ZS	3.2434375"
"Philippines	PHL	Arable land (% of land area)	AG.LND.ARBL.ZS	18.74769427"
"Palau	PLW	Arable land (% of land area)	AG.LND.ARBL.ZS	2.173913043"
"Papua New Guinea	PNG	Arable land (% of land area)	AG.LND.ARBL.ZS	0.662456388"
"Poland	POL	Arable land (% of land area)	AG.LND.ARBL.ZS	35.5563539"
"Pre-demographic dividend	PRE	Arable land (% of land area)	AG.LND.ARBL.ZS	9.193269446"
"Puerto Rico	PRI	Arable land (% of land area)	AG.LND.ARBL.ZS	6.877113867"
"Korea, Dem. PeopleÍs Rep.	PRK	Arable land (% of land area)	AG.LND.ARBL.ZS	19.51665144"
"Portugal	PRT	Arable land (% of land area)	AG.LND.ARBL.ZS	12.36141737"
"Paraguay	PRY	Arable land (% of land area)	AG.LND.ARBL.ZS	12.08155047"
"West Bank and Gaza	PSE	Arable land (% of land area)	AG.LND.ARBL.ZS	10.63122924"
"Pacific island small states	PSS	Arable land (% of land area)	AG.LND.ARBL.ZS	3.71005456"
"Post-demographic dividend	PST	Arable land (% of land area)	AG.LND.ARBL.ZS	11.92113241"
"French Polynesia	PYF	Arable land (% of land area)	AG.LND.ARBL.ZS	0.683060109"
"Qatar	QAT	Arable land (% of land area)	AG.LND.ARBL.ZS	1.12833764"
"Romania	ROU	Arable land (% of land area)	AG.LND.ARBL.ZS	38.06067455"
"Russian Federation	RUS	Arable land (% of land area)	AG.LND.ARBL.ZS	7.518031223"
"Rwanda	RWA	Arable land (% of land area)	AG.LND.ARBL.ZS	46.68423186"
"South Asia	SAS	Arable land (% of land area)	AG.LND.ARBL.ZS	43.16183308"
"Saudi Arabia	SAU	Arable land (% of land area)	AG.LND.ARBL.ZS	1.629072099"
"Sudan	SDN	Arable land (% of land area)	AG.LND.ARBL.ZS	8.343080808"
"Senegal	SEN	Arable land (% of land area)	AG.LND.ARBL.ZS	16.62078637"
"Singapore	SGP	Arable land (% of land area)	AG.LND.ARBL.ZS	0.789844852"
"Solomon Islands	SLB	Arable land (% of land area)	AG.LND.ARBL.ZS	0.714540907"
"Sierra Leone	SLE	Arable land (% of land area)	AG.LND.ARBL.ZS	21.94513716"
"El Salvador	SLV	Arable land (% of land area)	AG.LND.ARBL.ZS	36.1969112"
"San Marino	SMR	Arable land (% of land area)	AG.LND.ARBL.ZS	16.66666667"
"Somalia	SOM	Arable land (% of land area)	AG.LND.ARBL.ZS	1.753435139"
"Serbia	SRB	Arable land (% of land area)	AG.LND.ARBL.ZS	29.62497142"
"Sub-Saharan Africa (excluding high income)	SSA	Arable land (% of land area)	AG.LND.ARBL.ZS	8.976575014"
"South Sudan	SSD	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Sub-Saharan Africa	SSF	Arable land (% of land area)	AG.LND.ARBL.ZS	8.976406534"
"Small states	SST	Arable land (% of land area)	AG.LND.ARBL.ZS	2.08393057"
"Sao Tome and Principe	STP	Arable land (% of land area)	AG.LND.ARBL.ZS	9.0625"
"Suriname	SUR	Arable land (% of land area)	AG.LND.ARBL.ZS	0.416666667"
"Slovak Republic	SVK	Arable land (% of land area)	AG.LND.ARBL.ZS	28.75296369"
"Slovenia	SVN	Arable land (% of land area)	AG.LND.ARBL.ZS	9.138530288"
"Sweden	SWE	Arable land (% of land area)	AG.LND.ARBL.ZS	6.336696865"
"Swaziland	SWZ	Arable land (% of land area)	AG.LND.ARBL.ZS	10.1744186"
"Sint Maarten (Dutch part)	SXM	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Seychelles	SYC	Arable land (% of land area)	AG.LND.ARBL.ZS	0.326086957"
"Syrian Arab Republic	SYR	Arable land (% of land area)	AG.LND.ARBL.ZS	25.3880085"
"Turks and Caicos Islands	TCA	Arable land (% of land area)	AG.LND.ARBL.ZS	1.052631579"
"Chad	TCD	Arable land (% of land area)	AG.LND.ARBL.ZS	3.891359593"
"East Asia & Pacific (IDA & IBRD countries)	TEA	Arable land (% of land area)	AG.LND.ARBL.ZS	12.05043835"
"Europe & Central Asia (IDA & IBRD countries)	TEC	Arable land (% of land area)	AG.LND.ARBL.ZS	11.01497585"
"Togo	TGO	Arable land (% of land area)	AG.LND.ARBL.ZS	48.72219158"
"Thailand	THA	Arable land (% of land area)	AG.LND.ARBL.ZS	32.90336472"
"Tajikistan	TJK	Arable land (% of land area)	AG.LND.ARBL.ZS	5.259896531"
"Turkmenistan	TKM	Arable land (% of land area)	AG.LND.ARBL.ZS	4.128274424"
"Latin America & the Caribbean (IDA & IBRD countries)	TLA	Arable land (% of land area)	AG.LND.ARBL.ZS	8.654403175"
"Timor-Leste	TLS	Arable land (% of land area)	AG.LND.ARBL.ZS	10.42367182"
"Middle East & North Africa (IDA & IBRD countries)	TMN	Arable land (% of land area)	AG.LND.ARBL.ZS	5.6861241"
"Tonga	TON	Arable land (% of land area)	AG.LND.ARBL.ZS	25"
"South Asia (IDA & IBRD)	TSA	Arable land (% of land area)	AG.LND.ARBL.ZS	43.16183308"
"Sub-Saharan Africa (IDA & IBRD countries)	TSS	Arable land (% of land area)	AG.LND.ARBL.ZS	8.976406534"
"Trinidad and Tobago	TTO	Arable land (% of land area)	AG.LND.ARBL.ZS	4.873294347"
"Tunisia	TUN	Arable land (% of land area)	AG.LND.ARBL.ZS	18.66632338"
"Turkey	TUR	Arable land (% of land area)	AG.LND.ARBL.ZS	26.82457804"
"Tuvalu	TUV	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Tanzania	TZA	Arable land (% of land area)	AG.LND.ARBL.ZS	15.2404606"
"Uganda	UGA	Arable land (% of land area)	AG.LND.ARBL.ZS	34.41053262"
"Ukraine	UKR	Arable land (% of land area)	AG.LND.ARBL.ZS	56.17484282"
"Upper middle income	UMC	Arable land (% of land area)	AG.LND.ARBL.ZS	9.325669666"
"Uruguay	URY	Arable land (% of land area)	AG.LND.ARBL.ZS	13.77328305"
"United States	USA	Arable land (% of land area)	AG.LND.ARBL.ZS	16.64540384"
"Uzbekistan	UZB	Arable land (% of land area)	AG.LND.ARBL.ZS	10.34320639"
"St. Vincent and the Grenadines	VCT	Arable land (% of land area)	AG.LND.ARBL.ZS	12.82051282"
"Venezuela, RB	VEN	Arable land (% of land area)	AG.LND.ARBL.ZS	3.061050961"
"British Virgin Islands	VGB	Arable land (% of land area)	AG.LND.ARBL.ZS	6.666666667"
"Virgin Islands (U.S.)	VIR	Arable land (% of land area)	AG.LND.ARBL.ZS	2.857142857"
"Vietnam	VNM	Arable land (% of land area)	AG.LND.ARBL.ZS	22.5690973"
"Vanuatu	VUT	Arable land (% of land area)	AG.LND.ARBL.ZS	1.640689089"
"World	WLD	Arable land (% of land area)	AG.LND.ARBL.ZS	10.9912881"
"Samoa	WSM	Arable land (% of land area)	AG.LND.ARBL.ZS	2.826855124"
"Kosovo	XKX	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Yemen, Rep.	YEM	Arable land (% of land area)	AG.LND.ARBL.ZS	2.363770669"
"South Africa	ZAF	Arable land (% of land area)	AG.LND.ARBL.ZS	10.30426432"
"Zambia	ZMB	Arable land (% of land area)	AG.LND.ARBL.ZS	5.111717941"
"Zimbabwe	ZWE	Arable land (% of land area)	AG.LND.ARBL.ZS	10.33992504"
