"","X.1","Country","code","C","E","P","S","X","GDP","elev","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","government_effectiveness","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"106",106,"Oman","OMN",14.3,10.6,17.9,7,2.2,831770871,310.0209,792917.647058823,321074.642857143,171096.669642857,122778675,0.122778675,81546336,0.783339798,376893491,0.061398745,52,"0.310047656"
"107",107,"Pakistan","PAK",28.8,22,24.9,17.9,9.3,7.1e+12,1018.028,1459000,321074.642857143,1002000,0.48733914,39.48733914,0.667473018,-2.482707977,0.766665697,0.722032487,102.9,"-0.833833992"
"108",108,"Panama","PAN",13.2,14.7,14.3,9.2,3.2,132289700,359.6746,792917.647058823,321074.642857143,100,573311811,7.573311811,292337388,0.386077255,0.106349006,558467448,54.6,"-0.339630365"
"109",109,"Papua New Guinea","PNG",20.3,22.3,22.2,11.9,6.7,60901604,667.6198,6300,321074.642857143,171096.669642857,662456388,0.662456388,0.606489778,-0.422148317,0.869289815,44731397,83.4,"-0.910418808"
"110",110,"Paraguay","PRY",20.2,18.7,19.9,8.1,4.4,282581336,178.6918,792917.647058823,321074.642857143,171000,0.08155047,12.08155047,0.948369682,0.038498022,0.691573739,0.069941297,71.3,"-0.969663143"
"111",111,"Peru","PER",21.3,17.7,18.8,10.1,4,8.9e+12,1555.255,60000,321074.642857143,8400,2434375,3.2434375,0.276903689,-0.397571415,0.48545754,227344468,71.9,"-0.560316086"
"112",112,"Philippines","PHL",25.4,18.4,20.6,15.6,6.3,9.3e+12,441.9939,62000,288000,2221000,0.74769427,18.74769427,112366773,-0.855662465,0.342897713,147050843,86.3,"-0.437061995"
"113",113,"Poland","POL",10.5,12,8.5,6.1,2.7,7.7e+12,171.6889,792917.647058823,321074.642857143,171096.669642857,0.5563539,35.5563539,798975646,0.874852359,802068591,39663672,39.8,"0.635148048"
"114",114,"Portugal","PRT",6,10.2,6.8,4.2,2.5,9.9e+12,372.4704,792917.647058823,321074.642857143,10,0.36141737,12.36141737,220576167,0.917840123,146607041,128600121,29.7,"0.947626293"
"115",115,"Qatar","QAT",12.1,10.9,14,6.1,3.2,6.5e+12,27.8971,792917.647058823,321074.642857143,171096.669642857,12833764,1.12833764,955126643,0.996630371,770525932,0.144710541,46.3,"0.988537192"
"116",116,"Russian Federation","RUS",26.5,15.3,21.5,10.8,5.9,3.7e+13,372.5321,27000,321074.642857143,6600,518031223,7.518031223,0.204350516,-1.029335141,0.763637006,0.087691426,80,"-0.919225872"
"117",117,"Rwanda","RWA",23,22,21.5,15.9,7.8,61034258,1598.151,792917.647058823,321074.642857143,2000,0.68423186,46.68423186,0.045735646,0.013241149,50420243,0.135152102,90.2,"0.762483418"
"118",118,"Saudi Arabia","SAU",21.8,13.9,20.7,10.4,4.8,5.2e+12,665.2062,792917.647058823,321074.642857143,171096.669642857,629072099,1.629072099,200066909,-0.626398981,117822453,0.842594862,71.6,"0.087325081"
"119",119,"Senegal","SEN",19.1,22,19.6,15.8,6.5,640668374,69.0371,24000,321074.642857143,171096.669642857,0.62078637,16.62078637,0.450297266,-0.116664805,0.141723916,279269904,83,"0.055656247"
"120",120,"Serbia","SRB",22.1,17.3,15.3,12.5,6.6,160332465,442.0694,792917.647058823,321074.642857143,171096.669642857,0.62497142,29.62497142,111243814,0.238982022,0.117168836,231035233,73.8,"-0.226995632"
"121",121,"Sierra Leone","SLE",18.7,25.9,21.8,17.7,7.8,51869870,279.3589,792917.647058823,321074.642857143,171096.669642857,0.94513716,21.94513716,0.279705524,-0.102516763,0.853527308,0.264879495,91.9,"-0.940657198"
"122",122,"Slovak Republic","SVK",11.9,13.3,9.3,4.8,3.3,501423882,458.604,792917.647058823,321074.642857143,171096.669642857,0.75296369,28.75296369,83792001,0.874545217,503814816,965366244,42.6,"0.162737191"
"123",123,"Slovenia","SVN",7.6,10.9,6.6,4.2,2.3,72415017,492.6379,792917.647058823,321074.642857143,171096.669642857,138530288,9.138530288,972628713,0.953392744,974581301,98675704,31.6,"0.726776481"
"124",124,"Somalia","SOM",29.2,27.3,28.6,19.4,9.5,2.5e+07,409.9049,1223000,90000,59000,753435139,1.753435139,0.196963072,-2.380827904,0.300122499,0.00137043,114,"-1.659762979"
